"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072171","mesonephric tubule morphogenesis","14/1869","44/18842",0.318181818181818,3.20769492679605,4.86504537448061,5.54759368134572e-05,0.00157801447490844,0.00121485629673426,"MAGED1/NPNT/LGR4/FGF2/GPC3/TCF21/GDNF/GREM1/VEGFA/SIX1/KIF26B/SIX4/GATA3/BMP2",14
"GO:0110020","regulation of actomyosin structure organization","23/1869","97/18842",0.237113402061856,2.39041772158881,4.55581163148253,5.82333438178014e-05,0.00164782165084435,0.00126859831785729,"S1PR1/MYOC/SFRP1/DLC1/CCN2/ARHGEF15/PAK1/LIMCH1/PTGER4/SORBS3/CAV3/RHPN1/ARHGAP6/APOA1/ECT2/SYNPO/EDN1/TAC1/RHPN2/RGCC/FERMT2/CGNL1/PHLDB2",23
"GO:0007162","negative regulation of cell adhesion","51/1869","295/18842",0.172881355932203,1.74287346627853,4.26742933698126,5.89118296480258e-05,0.00165309126622048,0.00127265520423118,"CDKN2A/MMP12/VSIR/CRTAM/VSIG4/MYOC/CD274/FYN/PTPN1/DLC1/IL10/MIR27A/ZC3H8/DUSP1/EPHB2/EPCAM/MYADM/MDK/TNFRSF14/TBX21/SPN/NOTCH1/TNFRSF21/SPRY4/ACVRL1/JAM3/KLF4/ADTRP/ABCA12/CEBPB/VEGFA/MIR29C/FAM107A/EFNA5/SEMA5A/ARG1/CDH13/CORO2B/ARHGAP6/APOA1/FOXP3/FGL1/BMP2/PRKG1/SEMA6A/CEACAM1/SPI1/MUC21/RGCC/BMP6/PHLDB2",51
"GO:0006270","DNA replication initiation","13/1869","39/18842",0.333333333333333,3.36044230426253,4.89654150257653,5.90281070581214e-05,0.00165309126622048,0.00127265520423118,"GMNN/CDC6/TICRR/MCM2/ORC1/MCM6/ORC6/PRIM2/CDT1/DTL/MCM10/CDC45/MCM4",13
"GO:0042044","fluid transport","12/1869","34/18842",0.352941176470588,3.55811538098385,4.95410947466302,5.98533199522393e-05,0.00166306305905951,0.00128033212704327,"EDNRB/SLC26A6/AQP9/AQP6/SLC14A1/SLC4A11/AQP10/AVPR2/EDN1/HYAL2/CLDN18/PKP1",12
"GO:0000725","recombinational repair","37/1869","192/18842",0.192708333333333,1.94275570715177,4.3570012678624,5.99963849761945e-05,0.00166306305905951,0.00128033212704327,"PARPBP/SAMHD1/TONSL/HELB/RAD54B/RAD54L/BLM/HELLS/MCM2/BRCA2/MCM6/GINS4/ZNF365/ZGRF1/TIMELESS/UHRF1/GINS2/RMI2/FIGNL1/PSMD14/RIF1/RADX/HROB/RAD51/RECQL4/FANCB/POLQ/AUNIP/FEN1/CHEK1/GEN1/XRCC2/CDC45/PLK1/MCM4/RAD51AP1/PELI1",37
"GO:0045766","positive regulation of angiogenesis","36/1869","185/18842",0.194594594594595,1.96177172356948,4.362287480967,6.07537417743356e-05,0.00167550801553282,0.00128991304912895,"RRAS/ADAM12/C5AR1/GAB1/ADM/SASH1/IL10/ADM2/RHOB/ANXA3/FGF2/MDK/CAMP/TNFSF12/CDH5/ANGPTL4/HYAL1/FOXC2/KLF4/JCAD/MIR27B/TERT/CLIC3/GREM1/VEGFA/GATA2/CCBE1/SEMA5A/GATA6/RAMP2/TEK/CD34/ANGPT4/ANGPTL3/HMGA2/EMP2",36
"GO:0051338","regulation of transferase activity","49/1869","281/18842",0.174377224199288,1.75795380329748,4.24788284899212,6.52445082659394e-05,0.00178614994108327,0.00137509226774516,"NEDD9/CDKN2A/FIRRM/CCNE2/CDKN1A/CDC6/LATS2/SASH1/PTPN1/CEMIP/CDC20/RFC4/BLM/CEP85/GPRC5A/FGF2/S100A12/CHTF18/CDC25A/ZFP36/CDKN3/PKMYT1/BCCIP/SERTAD1/DSCC1/LDB2/FGR/UBE2C/POLG2/MAD2L1/PDGFB/CASS4/ADARB1/KIF14/TPX2/PIK3R5/EZH2/PRKN/DOK7/ECT2/TRAF4/EEF1A2/NEK7/ADCY8/CEACAM1/HMGA2/CDC25C/GAS6/EMP2",49
"GO:1990089","response to nerve growth factor","15/1869","50/18842",0.3,3.02439807383628,4.7563273352861,6.54231250277141e-05,0.00178614994108327,0.00137509226774516,"TMEM108/NTRK2/FOXO3/PTPN1/STMN2/BDNF/KAT2A/LCN2/CSNK1E/SORT1/FBXO43/E2F1/GRIA1/CRK/SH3GL2",15
"GO:0021537","telencephalon development","35/1869","180/18842",0.194444444444444,1.96025801081981,4.29558600484095,7.76167975997781e-05,0.00210846030679797,0.00162322736632462,"TMEM108/EFNA2/TACC1/NTRK2/NCAPG2/WDR62/SLIT2/KDM6B/SEMA3A/SRD5A1/ID2/FEZF1/PAX6/LRP8/EPHB2/ATIC/FEZ1/MDK/RARA/SUN2/SLC8A3/DAB2IP/KIF14/EPHA5/PHACTR1/DIXDC1/FOS/SHANK3/GRIA1/AVPR2/EZH2/RTN4RL2/COL3A1/KIF26A/BMP2",35
"GO:0051017","actin filament bundle assembly","32/1869","159/18842",0.20125786163522,2.02894629691323,4.32359776473219,7.83073097448324e-05,0.00211174465656668,0.00162575586847757,"S1PR1/NEDD9/MYOC/SFRP1/BAIAP2L2/DLC1/MYL9/HSP90B1/CCN2/ARHGEF15/PAK1/PDLIM1/LIMCH1/PTGER4/ARRB1/SORBS3/PHACTR1/RHPN1/SHANK3/FAM107A/PRKN/ARHGAP6/APOA1/SYNPO/TAC1/ZYX/RHPN2/RGCC/FERMT2/CGNL1/SORBS1/PHLDB2",32
"GO:0140013","meiotic nuclear division","33/1869","166/18842",0.198795180722892,2.00411920555416,4.31195981737254,7.85150783409662e-05,0.00211174465656668,0.00162575586847757,"SYCP2/MND1/C14orf39/FANCD2/SKA3/TDRKH/DCAF13/TOP2A/RAD54B/P3H4/TUBB8/RAD54L/KNL1/HORMAD1/ZWINT/BRCA2/SGO1/TRIP13/PTTG1/EME1/ESPL1/NUF2/FIGNL1/TESMIN/SGO2/FBXO43/RAD51/TTK/BRIP1/INCENP/NDC80/NCAPH/RAD51AP1",33
"GO:0071356","cellular response to tumor necrosis factor","38/1869","202/18842",0.188118811881188,1.89648724101945,4.25083417580639,8.23104954039381e-05,0.00220292079571229,0.00169594908185693,"TXNDC17/KLF2/ADAMTS12/SFRP1/FOXO3/ARHGEF2/GPER1/NPNT/TRAIP/TNFRSF14/CAMP/DCSTAMP/ZFP36/TNFRSF21/PELI3/HYAL1/TNFAIP3/KAT2A/NFKBIA/LCN2/MIR27B/DAB2IP/ZFP36L2/FOS/ANKRD1/MIR30C2/CCL2/AKAP12/COL1A1/PRKN/APOA1/TNFSF11/GATA3/EDN1/PID1/HYAL2/TRAF5/GAS6",38
"GO:0050890","cognition","41/1869","224/18842",0.183035714285714,1.84524287242987,4.22295383016975,8.36284375216452e-05,0.00222722206399558,0.00171465774978236,"NETO1/MGAT3/NEDD9/SOBP/PTN/C5AR1/PTPRZ1/NDRG4/FYN/MME/AGER/NTRK2/OPRK1/TACR2/LDLR/STRA6/SHROOM4/CLDN5/HLA-DRA/EPHB2/MDK/ARC/GRIN2B/KAT2A/S100B/SLC8A3/LCN2/CAMK2N1/CEBPB/CHRM1/FOS/SHANK3/GRIA1/FAM107A/SYT4/EGR1/SLC6A4/FEN1/ADCY8/TAC1/KAT2B",41
"GO:0072078","nephron tubule morphogenesis","15/1869","51/18842",0.294117647058824,2.96509615081988,4.66306282393329,8.42563562664797e-05,0.00223299894436968,0.00171910516113983,"MAGED1/NPNT/LGR4/FGF2/GPC3/TCF21/GDNF/GREM1/VEGFA/SIX1/KIF26B/SIX4/GATA3/BMP2/IRX1",15
"GO:0001763","morphogenesis of a branching structure","22/1869","93/18842",0.236559139784946,2.38483002237986,4.44248745252563,8.68117989829375e-05,0.00228955584405,0.00176264627359026,"MAGED1/SLIT2/NPNT/LGR4/FGF2/MDK/TCF21/GDNF/PAK1/TGFBR2/FGF10/BCL11A/FOXF1/TBX2/PKHD1/GREM1/VEGFA/SIX1/SIX4/RASIP1/BMP2/SULF1",22
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","26/1869","119/18842",0.218487394957983,2.20264285489477,4.36716657465522,8.74145996342922e-05,0.00229431652083628,0.00176631134654269,"NOS1/OPRK1/CEMIP/ASPH/GPER1/ADCYAP1R1/FHL1/CTSS/LCN2/CAV1/STK39/KCNN4/ATP1B1/F2RL3/FXYD6/KCNE1/FXYD1/EDN1/P2RY6/CD19/ATP1B3/TESC/MS4A1/PLA2G1B/TRPC3/IL13",26
"GO:0050679","positive regulation of epithelial cell proliferation","34/1869","174/18842",0.195402298850575,1.96991445422286,4.26517131150785,8.81657829729889e-05,0.00230290720621273,0.00177292500464837,"EGF/PTN/SAAL1/MMP12/C5AR1/AGTR1/IL10/MIR27A/FGF2/MDK/TNFSF12/FGF10/HRAS/TNFAIP3/ACVRL1/NME1/EGFL7/JCAD/MIR27B/PKHD1/PDGFB/CDH3/ODAM/NR4A1/VEGFA/TGM1/NME2/GATA2/SEMA5A/CDH13/GPBAR1/NR4A3/TEK/BMP6",34
"GO:0051145","smooth muscle cell differentiation","16/1869","57/18842",0.280701754385965,2.82984615095792,4.59117370944837,9.18886005765313e-05,0.00238435292736328,0.00183562712098196,"EDNRB/ADM/QKI/RCAN1/GPER1/NPNT/TMEM204/ITGA8/NOTCH1/PDGFB/FOXO4/VEGFA/HEY1/GATA6/RAMP2/NFATC1",16
"GO:0010720","positive regulation of cell development","59/1869","362/18842",0.162983425414365,1.64308919296814,4.09969768870071,9.21616261266866e-05,0.00238435292736328,0.00183562712098196,"WNT2/SOX13/NEDD9/PTN/VSIR/PTPRZ1/MME/AGER/NTRK2/FOXO3/WDR62/SLIT2/QKI/ID2/IL10/GPER1/TRPV2/CLDN5/LRP8/PROC/HLA-DRA/BDNF/EPHB2/MACF1/MDK/ZNF365/SOX10/PAK1/TGFBR2/DCSTAMP/NOTCH1/CDH5/CDKL5/RARA/IL7R/BCL11A/TSPO/PF4/CCL19/BCL6/E2F1/VEGFA/SHANK3/TYROBP/EFNA5/SOX4/SEMA5A/TNFSF11/FOXP3/GATA3/BMP2/IL6/PTPRD/EGR2/TESC/SPI1/ZBTB16/TENM4/GAS6",59
"GO:0051255","spindle midzone assembly","7/1869","13/18842",0.538461538461538,5.42840679919332,5.30008551923024,9.34670469315538e-05,0.00239531351876949,0.00184406528406442,"CDCA8/KIF4A/KIF23/INCENP/BIRC5/AURKB/PRC1",7
"GO:2001214","positive regulation of vasculogenesis","7/1869","13/18842",0.538461538461538,5.42840679919332,5.30008551923024,9.34670469315538e-05,0.00239531351876949,0.00184406528406442,"RRAS/ADM/DSP/TMEM100/RAMP2/CD34/CEACAM1",7
"GO:0061138","morphogenesis of a branching epithelium","20/1869","81/18842",0.246913580246914,2.48921652167595,4.45707234402918,9.50846856815389e-05,0.00242532909534179,0.00186717319136108,"MAGED1/SLIT2/NPNT/LGR4/FGF2/MDK/TCF21/GDNF/PAK1/TGFBR2/FGF10/TBX2/PKHD1/GREM1/VEGFA/SIX1/SIX4/RASIP1/BMP2/SULF1",20
"GO:0035265","organ growth","25/1869","113/18842",0.221238938053097,2.23038206035124,4.3531059447396,9.57629368978868e-05,0.00242930947727489,0.00187023754351483,"WWC2/S1PR1/RGS2/CCNB1/NDRG4/LATS2/FGF2/TGFBR3/PAK1/NOTCH1/ACACB/FGF10/TBX2/STC1/LEPR/CAV3/FBLN5/RBP4/TBX5/CDK1/SLC6A4/EDN1/PRKG1/CLDN18/PSAPL1",25
"GO:1904018","positive regulation of vasculature development","36/1869","189/18842",0.19047619047619,1.92025274529287,4.21930576043636,9.61350152059823e-05,0.00242930947727489,0.00187023754351483,"RRAS/ADAM12/C5AR1/GAB1/ADM/SASH1/IL10/ADM2/RHOB/ANXA3/FGF2/MDK/CAMP/TNFSF12/CDH5/ANGPTL4/HYAL1/FOXC2/KLF4/JCAD/MIR27B/TERT/CLIC3/GREM1/VEGFA/GATA2/CCBE1/SEMA5A/GATA6/RAMP2/TEK/CD34/ANGPT4/ANGPTL3/HMGA2/EMP2",36
"GO:0033623","regulation of integrin activation","8/1869","17/18842",0.470588235294118,4.74415384131181,5.1249304148662,9.86859845577439e-05,0.00248222663936214,0.00191097655357413,"FERMT1/CXCL13/PTGER4/JAM3/KIF14/RASIP1/CDH17/FERMT2",8
"GO:0033002","muscle cell proliferation","39/1869","211/18842",0.184834123222749,1.86337322084699,4.18503446278734,9.91628967861403e-05,0.00248272819465023,0.00191136268285848,"S1PR1/CCNB1/CDKN1A/NDRG4/NPR1/ID2/IL10/ADAMTS1/GPER1/MIR27A/FGF2/TGFBR3/PAK1/JUN/NOTCH1/TNFAIP3/TBX2/KLF4/MIR27B/PDGFB/TERT/RBP4/FOS/PPARGC1A/SIX1/TBX5/CDH13/CDK1/HBEGF/BMP2/IL6/EDN1/P2RY6/PRKG1/NR4A3/RGCC/IL13/PTGIR/GJA1",39
"GO:1901654","response to ketone","37/1869","197/18842",0.187817258883249,1.89344718666569,4.18309882405071,0.000104975914694407,0.00261621167217758,0.00201412678658667,"CA9/SFRP1/FOXO3/SLIT2/SRD5A1/KLF9/DUSP1/FGF2/TGFBR3/SOX10/TBX21/ABCB4/PTGER4/TSPO/TBX2/AIFM1/CCL19/CAV1/STK39/JUND/FBP1/FOS/PSPH/TXNIP/PCNA/PRKN/SPP1/FOXP3/PTGER2/PTGDR2/EDN1/ADCY8/FOSB/CAD/NCF1/GHR/GAS6",37
"GO:0034612","response to tumor necrosis factor","40/1869","219/18842",0.182648401826484,1.84133824891097,4.155709574694,0.000106384045211015,0.00263919871064585,0.00203182367648882,"TXNDC17/KLF2/ADAMTS12/SFRP1/FOXO3/ARHGEF2/GPER1/NPNT/TRAIP/TNFRSF14/CAMP/DCSTAMP/ZFP36/TNFRSF21/PELI3/HYAL1/TNFAIP3/KAT2A/NFKBIA/LCN2/MIR27B/DAB2IP/ZFP36L2/SELE/FOS/ANKRD1/MIR30C2/CCL2/AKAP12/COL1A1/PRKN/APOA1/TNFSF11/GATA3/EDN1/PID1/HYAL2/CXCL16/TRAF5/GAS6",40
"GO:0001501","skeletal system development","56/1869","341/18842",0.164222873900293,1.65558447834635,4.0540170458157,0.000111792279361944,0.00276076115351564,0.00212541020659675,"ZNF219/MYOC/ADAMTS12/SRD5A1/PRKG2/PITX2/MMP13/SFRP4/FGF2/COL11A1/MDK/ADAMTS4/PITX1/ADGRG6/COL19A1/GDF10/TGFBR2/VCAN/HOXA4/PTGER4/NPR3/TFAP2A/MTHFD1L/HYAL1/ACVRL1/STC1/KAT2A/LEPR/FBLN5/SNORC/RBP4/TBX3/ARSL/GREM1/BCAN/SIX1/TYROBP/COL1A1/COL3A1/GATA3/HOXC11/DSCAML1/BMP2/PRKG1/CHRDL2/HYAL2/ZBTB16/COL10A1/WNT9A/PTH1R/SOX5/GHR/HMGA2/GJA1/BMP6/SULF1",56
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","11/1869","31/18842",0.354838709677419,3.57724503356979,4.76549410294561,0.000114782089281412,0.00282176964283218,0.00217237843697673,"CDKN2A/CCNE2/CDC6/LATS2/BLM/CDC25A/CDKN3/PKMYT1/BCCIP/SERTAD1/CDC25C",11
"GO:0001952","regulation of cell-matrix adhesion","26/1869","121/18842",0.214876033057851,2.16623553497915,4.27062810222966,0.000116945891844433,0.00284917950847894,0.00219348030163202,"CDKN2A/RRAS/MMP12/MYOC/PLPP3/SFRP1/DLC1/FERMT1/MACF1/LIMCH1/PEAK1/ACVRL1/BST1/PKHD1/CD36/GREM1/VEGFA/MIR29C/FAM107A/EFNA5/CDH13/ARHGAP6/TEK/FERMT2/PHLDB2/EMP2",26
"GO:0045664","regulation of neuron differentiation","26/1869","121/18842",0.214876033057851,2.16623553497915,4.27062810222966,0.000116945891844433,0.00284917950847894,0.00219348030163202,"EDNRB/NREP/SFRP1/FOXO3/WDR62/ARHGEF2/ID2/PCP4/CNTN4/NOTCH1/RARA/ADRA2C/BCL11A/NBL1/S100B/DIXDC1/FGF20/GATA2/SIX1/HEY1/WNT3A/SLC6A4/SH3GL3/ECT2/BMP2/BEND6",26
"GO:0006801","superoxide metabolic process","18/1869","70/18842",0.257142857142857,2.59234120614538,4.42901550745515,0.000119860189069133,0.002894224032056,0.00222815845190955,"SOD3/FPR2/NCF1C/CYGB/BST1/MIR27B/CD36/FBLN5/DHFR/NQO1/CD177/TYROBP/NOX5/PRKCE/MB/EDN1/NCF1/NCF2",18
"GO:0007080","mitotic metaphase chromosome alignment","18/1869","70/18842",0.257142857142857,2.59234120614538,4.42901550745515,0.000119860189069133,0.002894224032056,0.00222815845190955,"CCNB1/SKA3/CDCA8/CENPA/KIF18A/CDT1/NUF2/KIF14/SPDL1/CDK1/TTK/KIF2C/INCENP/NDC80/BIRC5/AURKB/CENPE/KAT2B",18
"GO:0014015","positive regulation of gliogenesis","14/1869","47/18842",0.297872340425532,3.00294844210694,4.56220560848093,0.000124015146482288,0.00298130217185075,0.00229519676373726,"PTN/PTPRZ1/QKI/ID2/MDK/ZNF365/SOX10/NOTCH1/TSPO/E2F1/BMP2/IL6/EGR2/TENM4",14
"GO:0030177","positive regulation of Wnt signaling pathway","29/1869","142/18842",0.204225352112676,2.05886253852704,4.20281498904535,0.000126864031780612,0.00303635367693422,0.00233757892730976,"EGF/RSPO1/SFRP1/RECK/ATP6V1C2/HSP90B1/PTK7/LGR4/MACF1/SFRP4/GPC3/LBX2/ZBED3/CSNK1E/FRAT1/CDH3/NKD1/TERT/DIXDC1/TMEM132A/DEPDC1B/WNT3A/SOX4/SEMA5A/COL1A1/BMP2/SCEL/RSPO4/SULF1",29
