ENTREZID,ENSEMBL,SYMBOL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Upregulated/Downregulated,Targets with no approved drugs,Oncogene/Tumor Suppressor
8856,ENSG00000144852,NR1I2,nuclear receptor subfamily 1 group I member 2,25.31885464,3.285272556,0.989502796,3.320124581,0.000899773,0.010709241,Upregulated,,
157313,ENSG00000184661,CDCA2,cell division cycle associated 2,84.13790971,3.28497434,0.702648003,4.6751351,2.94E-06,0.000129444,Upregulated,,
51087,ENSG00000006047,YBX2,Y-box binding protein 2,39.4181856,3.281975835,1.04827471,3.130835651,0.001743097,0.017070032,Upregulated,,
995,ENSG00000158402,CDC25C,cell division cycle 25C,42.54921825,3.279701722,0.804632276,4.076025561,4.58E-05,0.001155733,Upregulated,,
55612,ENSG00000101311,FERMT1,FERM domain containing kindlin 1,415.7680791,3.277599826,0.600508359,5.458041965,4.81E-08,4.95E-06,Upregulated,,
286467,ENSG00000213468,FIRRE,firre intergenic repeating RNA element,44.90238342,3.27077009,0.918735714,3.560077223,0.000370746,0.005552506,Upregulated,,
100499467,ENSG00000227036,LINC00673,long intergenic non-protein coding RNA 673,173.186892,3.270196319,0.652240326,5.013790456,5.34E-07,3.42E-05,Upregulated,,
56667,ENSG00000173702,MUC13,"mucin 13, cell surface associated",18.32248712,3.269922207,0.90454643,3.614985478,0.000300364,0.004780038,Upregulated,,
677770,ENSG00000249784,SCARNA22,small Cajal body-specific RNA 22,2.195583972,3.269919498,1.205279625,2.712996578,0.00666778,0.043722024,Upregulated,,
642477,,,,43.20060694,3.269548581,0.883952359,3.698783707,0.000216635,0.003791396,Upregulated,,
9212,ENSG00000178999,AURKB,aurora kinase B,96.74999965,3.267474321,0.725678201,4.502649129,6.71E-06,0.000250613,Upregulated,,
339761,ENSG00000186684,CYP27C1,cytochrome P450 family 27 subfamily C member 1,95.16528549,3.265903521,1.025840966,3.18363531,0.001454381,0.015154453,Upregulated,,
5803,ENSG00000106278,PTPRZ1,protein tyrosine phosphatase receptor type Z1,294.9859259,3.263924222,1.078820236,3.025456988,0.002482577,0.021937175,Upregulated,,
51050,ENSG00000137558,PI15,peptidase inhibitor 15,321.1541193,3.263868121,0.893661538,3.652241909,0.000259961,0.004290118,Upregulated,,
140469,ENSG00000071909,MYO3B,myosin IIIB,47.62243265,3.262311273,0.809775968,4.028659037,5.61E-05,0.001354843,Upregulated,,
101669762,ENSG00000281406,BLACAT1,BLACAT1 overlapping LEMD1 locus,40.87248593,3.257930789,0.582728735,5.590818837,2.26E-08,2.65E-06,Upregulated,,
81793,ENSG00000174123,TLR10,toll like receptor 10,145.0390055,3.252189165,0.772800725,4.208315368,2.57E-05,0.000745076,Upregulated,,
113130,ENSG00000146670,CDCA5,cell division cycle associated 5,206.7515688,3.247830319,0.726814594,4.468581597,7.87E-06,0.000284264,Upregulated,,
25884,ENSG00000054938,CHRDL2,chordin like 2,92.85493125,3.247675789,0.843095775,3.852084054,0.000117117,0.002406538,Upregulated,,
503639,ENSG00000244306,DUXAP10,double homeobox A pseudogene 10,19.42230532,3.240356597,0.913321075,3.547883308,0.00038834,0.005738002,Upregulated,,
93273,ENSG00000186007,LEMD1,LEM domain containing 1,15.18971563,3.240083478,0.996832429,3.250379286,0.001152512,0.012860528,Upregulated,,
57115,ENSG00000163218,PGLYRP4,peptidoglycan recognition protein 4,8.074526149,3.237198521,1.137254308,2.846503635,0.004420222,0.033051238,Upregulated,,
9837,ENSG00000101003,GINS1,GINS complex subunit 1,172.5982234,3.236043037,0.683704053,4.733104952,2.21E-06,0.00010464,Upregulated,,
4584,ENSG00000169894,MUC3A,"mucin 3A, cell surface associated",228.8692051,3.233700054,0.695939922,4.646521848,3.38E-06,0.000145667,Upregulated,,
93429,ENSG00000268460,LOC93429,uncharacterized LOC93429,5.209170848,3.226191512,0.937034217,3.442981541,0.000575339,0.007682417,Upregulated,,
